Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
32                      6.01
64                     12.08
128                    24.23
256                    47.85
512                    90.77
1024                  155.14
2048                  235.88
4096                  622.72
8192                 1064.54
16384                1616.16
32768                2054.23
65536                1805.68
131072               2521.44
262144               2796.75
524288               3015.93
1048576              3100.19
2097152              3105.80
4194304              2885.70
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.38
4                       0.76
8                       1.51
16                      3.07
32                      6.07
64                     12.21
128                    24.44
256                    48.43
512                    91.84
1024                  154.03
2048                  237.72
4096                  632.36
8192                 1082.89
16384                1604.37
32768                2235.44
65536                1800.32
131072               2459.66
262144               2836.64
524288               3049.71
1048576              3119.97
2097152              3106.69
4194304              3075.86
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.38
4                       0.75
8                       1.52
16                      3.03
32                      5.97
64                     11.98
128                    24.43
256                    47.44
512                    92.42
1024                  151.46
2048                  237.04
4096                  480.73
8192                 1067.12
16384                1618.56
32768                2279.32
65536                1802.71
131072               2467.81
262144               2819.95
524288               3053.64
1048576              3131.49
2097152              3215.42
4194304              3134.10
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.38
4                       0.77
8                       1.53
16                      3.03
32                      6.06
64                     12.23
128                    24.31
256                    47.82
512                    93.74
1024                  153.96
2048                  235.22
4096                  594.25
8192                 1063.81
16384                1622.16
32768                1695.89
65536                1803.42
131072               2468.12
262144               2809.97
524288               3054.33
1048576              3120.98
2097152              3180.04
4194304              3134.80
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.38
4                       0.77
8                       1.51
16                      2.99
32                      5.95
64                     12.13
128                    23.93
256                    48.30
512                    92.11
1024                  154.77
2048                  234.13
4096                  623.69
8192                 1076.28
16384                1615.25
32768                2255.79
65536                1811.08
131072               2517.20
262144               2845.22
524288               3080.97
1048576              3100.98
2097152              3142.35
4194304              2939.14
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.38
4                       0.76
8                       1.54
16                      3.06
32                      6.03
64                     12.35
128                    24.15
256                    48.18
512                    91.88
1024                  156.77
2048                  235.92
4096                  458.77
8192                 1072.81
16384                1614.66
32768                2243.33
65536                1808.03
131072               2508.07
262144               2806.65
524288               3048.90
1048576              3134.90
2097152              3216.02
4194304              3110.11
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.38
4                       0.76
8                       1.52
16                      2.99
32                      5.98
64                     12.10
128                    24.22
256                    48.11
512                    91.55
1024                  154.86
2048                  236.94
4096                  443.98
8192                 1070.24
16384                1620.93
32768                2056.49
65536                1805.50
131072               2444.73
262144               2824.68
524288               3018.95
1048576              3127.65
2097152              3174.99
4194304              2956.59
Warning: Permanently added '[osu-bibw-single-node-worker-0.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-bibw-single-node-worker-1.osu-bibw-single-node.osutmp.svc]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.38
4                       0.77
8                       1.55
16                      2.99
32                      6.14
64                     12.17
128                    24.11
256                    46.07
512                    92.44
1024                  154.09
2048                  233.85
4096                  481.65
8192                 1046.01
16384                1636.76
32768                2236.67
65536                1795.45
131072               2421.69
262144               2826.65
524288               3076.21
1048576              3137.81
2097152              3114.99
4194304              2939.20
